Position,Track Name,Artist,Streams,URL
122,Someone To You,BANNERS,814615,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
123,Be Like That - feat. Swae Lee & Khalid,Kane Brown,813230,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
124,GREECE (feat. Drake),DJ Khaled,801200,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
125,Ayer Me Llamó Mi Ex (feat. Lenny Santos),KHEA,791489,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
126,Savage Love (Laxed – Siren Beat) [BTS Remix],Jawsh 685,789266,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
127,Martin & Gina,Polo G,779531,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
128,Ride It,Regard,779379,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
129,everything i wanted,Billie Eilish,778301,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
130,Don Don,Daddy Yankee,777367,https://open.spotify.com/track/3kml9ZdpT7UYk1ugkjqOzt
131,Mr. Right Now (feat. Drake),21 Savage,768571,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
132,Caramelo - Remix,Ozuna,758142,https://open.spotify.com/track/67jvGGbJmOmVonlyX3mNkV
133,Perfect,Ed Sheeran,756676,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
134,Sweet Melody,Little Mix,753856,https://open.spotify.com/track/28xX6K8LnkZve4RiuEB3iK
135,SAD!,XXXTENTACION,749021,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
136,Be Alright,Dean Lewis,745139,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
137,Be Kind (with Halsey),Marshmello,744998,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
138,Chica Ideal,Sebastian Yatra,744112,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
139,Still Don't Know My Name,Labrinth,741680,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
140,Daddy Issues,The Neighbourhood,741292,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
141,All of Me,John Legend,739401,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
